見出し語,尊敬語,謙譲語,丁寧語
会い,お会いになる<br>会われる</br>,お目にかかる<br>お会いする</br>,会います

会う,お会いになる<br>会われる</br>,お目にかかる<br>お会いする</br>,会います

与える,お与えになる,さしあげる<br>献上する</br><br>献じる</br><br>進呈する</br>,あげる

与え,お与えになる,さしあげる<br>献上する</br><br>献じる</br><br>進呈する</br>,あげる
さしあげる,お与えになる,さしあげる<br>献上する</br><br>献じる</br><br>進呈する</br>,あげる
差し上げる,お与えになる,さしあげる<br>献上する</br><br>献じる</br><br>進呈する</br>,あげる
差しあげる,お与えになる,さしあげる<br>献上する</br><br>献じる</br><br>進呈する</br>,あげる

あり,おありになる,,ございます<br>あります</br>
ある,おありになる,,ございます<br>あります</br>

言い,おっしゃる<br>言われる</br>,申し上げる,申す<br>言います</br>
言う,おっしゃる<br>言われる</br>,申し上げる,申す<br>言います</br>

おっしゃる,おっしゃる<br>言われる</br>,,<br>言います</br>

申し上げる,おっしゃる,申し上げる,申す

い,いらっしゃる<br>おいでになる</br>,,おる<br>います</br>
います,いらっしゃる<br>おいでになる</br>,,おる<br>います</br>

いらっしゃる,いらっしゃる<br>おいでになる</br>,おる,おる

受け,お受けになる<br>受けられる</br>,拝受する<br>お受けする</br>,受けます


思う,おぼしめす<br>思いになる</br><br>思われる</br>,存じる,思います
思っ,おぼしめす<br>思いになる</br><br>思われる</br>,存じる,思います

買う,お求めになる<br>求められる</br><br>お買いになる</br><br>買われる</br>,,求める<br>買います</br>
買い,お求めになる<br>求められる</br><br>お買いになる</br><br>買われる</br>,,求める<br>買います</br>

借り,お借りになる<br>借りられる</br>,拝借する<br>お借りする</br>,借ります
借りる,お借りになる<br>借りられる</br>,拝借する<br>お借りする</br>,借ります


聞き,お聞きになる,うかがう<br>うけたまる</br><br>拝聴する</br><br>お聞きする</br>,聞きます
聞く,お聞きになる,うかがう<br>うけたまる</br><br>拝聴する</br><br>お聞きする</br>,聞きます

着て,召す<br>お召しになる</br><br>着られる</br>,,着ます
着る,召す<br>お召しになる</br><br>着られる</br>,,着ます

召す,召す<br>お召しになる</br><br>着られる</br>,,着ます

来る,いらっしゃる<br>おいでになる</br><br>見える</br><br>お見えになる</br><br>お越しになる</br><br>来られる</br>,参る,着ます

くれる,くださる<br>たまわる</br>,,くれます
くれ,くださる<br>たまわる</br>,,くれます
くださる,くださる<br>たまわる</br>,,くれます

死ぬ,お亡くなりになる<br>亡くなられる</br><br>逝去する</br><br>おかくれになる</br>,,亡くなる<br>死にます</br>
亡くなる,お亡くなりになる<br>亡くなられる</br><br>逝去する</br><br>おかくれになる</br>,,亡くなる<br>死にます</br>
なくなる,お亡くなりになる<br>亡くなられる</br><br>逝去する</br><br>おかくれになる</br>,,亡くなる<br>死にます</br>


知らせる,お知らせになる<br>知らせられる</br>,お耳に入れる<br>お知らせする</br>,知らせます

知る,ご存じだ<br>お知りになる</br><br>知られる</br>,存じる<br>存じ上げる</br><br>承知する</br>,知ります
知り,ご存じだ<br>お知りになる</br><br>知られる</br>,存じる<br>存じ上げる</br><br>承知する</br>,知ります

する,なさる<br>あそばす</br><br>される</br>,いたす,いたす
訪ね,お訪ねになる<br>訪ねられる</br>,うかがう<br>参上する</br><br>お邪魔する</br><br>お訪ねする</br>,訪ねます

尋ね,お尋ねになる<br>訪ねられる</br>,うかがう<br>お尋ねする</br>,尋ねます

食べ,召し上がる<br>あがる</br><br>食べられる</br>,いただく<br>頂戴する</br>,いただく<br>食べます</br>
食べる,召し上がる<br>あがる</br><br>食べられる</br>,いただく<br>頂戴する</br>,いただく<br>食べます</br>

寝る,おやすみになる<br>休まれる</br><br>寝られる</br>,,やすむ<br>寝ます</br>

<br></br>

飲む,召し上がる<br>あがる</br><br>お飲みになる</br><br>飲まれる</br>,いただく<br>頂戴する</br>,いただく<br>飲みます</br>
飲み,召し上がる<br>あがる</br><br>お飲みになる</br><br>飲まれる</br>,いただく<br>頂戴する</br>,いただく<br>飲みます</br>

見せる,お見せになる<br>見せられる</br>,お目にかける<br>ご覧に入れる</br><br>お見せする</br>,見せます
見せ,お見せになる<br>見せられる</br>,お目にかける<br>ご覧に入れる</br><br>お見せする</br>,見せます

見る,ご覧になる<br>見られる</br>,拝見する,見ます

命じ,おおせつける<br>お命じになる</br><br>命じられる</br>,,命じます

もらう,おもらいになる<br>もらわれる</br>,いただく<br>頂戴する</br><br>たまわる</br><br>拝受する</br>,もらいます
もらい,おもらいになる<br>もらわれる</br>,いただく<br>頂戴する</br><br>たまわる</br><br>拝受する</br>,もらいます

行く,いらっしゃる<br>おいでになる</br><br>お越しになる</br>,うかがう<br>参上する</br><br>あがる</br>,まいる<br>行きます</br>
行き,いらっしゃる<br>おいでになる</br><br>お越しになる</br>,うかがう<br>参上する</br><br>あがる</br>,まいる<br>行きます</br>

読む,お読みになる<br>読まれる</br>,拝読する,読みます
読み,お読みになる<br>読まれる</br>,拝読する,読みます


書き,お書きになります,お書きします,お書きいたします
入れ,お入れになります,お入れします,お入れいたします
取り,お取りになります,お取りします,お取りいたします
待ち,お待ちになります,お待ちします,お待ちいたします
参り,いらっしゃる,参る,参る
し,なさる,いたす,いたす
なさる,なさる,いたす,いたす
いたす,なさる,いたす,いたす
